reserved channels&blocked_calls (mean $\\pm$ std)&dropped_calls (mean $\\pm$ std) \\ \hline
0&$0.337 \pm 0.077$&$0.574 \pm 0.133$ \\ \hline
1&$0.905 \pm 0.072$&$0.386 \pm 0.065$ \\ \hline
2&$2.019 \pm 0.203$&$0.252 \pm 0.051$ \\ \hline
3&$4.257 \pm 0.233$&$0.145 \pm 0.042$ \\ \hline
4&$7.839 \pm 0.244$&$0.082 \pm 0.026$ \\ \hline
5&$13.737 \pm 0.359$&$0.025 \pm 0.017$ \\ \hline
6&$21.344 \pm 0.276$&$0.008 \pm 0.008$ \\ \hline
7&$32.258 \pm 0.361$&$0.001 \pm 0.002$ \\ \hline
8&$46.537 \pm 0.294$&$0.000 \pm 0.000$ \\ \hline
9&$65.923 \pm 0.247$&$0.000 \pm 0.000$ \\ \hline
